name,address,zip_code,price_raw,bedrooms_raw,url,price,bedrooms,rent_per_bedroom
Arwyn Manor Apts...NY Style...Gorgeous Newly Remodeled Studio!,Mid-Wilshire and Koreatown,90006,"$1,475",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-arwyn-manor-aptsny/7901328299.html,1475.0,0.0,1475.0
St. Andrews Apts.Charming Studio.1920's Classic Brick.Newly Remodeled,Mid-Wilshire and Koreatown,90006,"$1,425",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-st-andrews-aptscharming/7901282014.html,1425.0,0.0,1425.0
1 Bedroom with Parking,"Koreatown, Wilshire Square",90006,"$1,845",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-with-parking/7900927590.html,1845.0,1.0,1845.0
Lovely Studio Available,Koreatown,90006,"$1,445",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-lovely-studio-available/7900542118.html,1445.0,0.0,1445.0
Spacious Studio with Parking,Koreatown,90006,"$1,495",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-spacious-studio-with-parking/7900067764.html,1495.0,0.0,1495.0
Spacious Studio with Parking,Koreatown,90006,"$1,495",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-spacious-studio-with-parking/7899598632.html,1495.0,0.0,1495.0
2 Bedroom 1 Bath Great Community,"Arlington Heights, Los Angeles",90019,"$2,175",2br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-bath-great-community/7902697338.html,2175.0,2.0,1087.5
Single/ one month free on a year lease,"Los Angeles, Westlake",90057,"$1,475",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-single-one-month-free-on/7899951331.html,1475.0,,
"Be at the center of it all: Studio , 710 Sq Ft.",Los Angeles - Downtown LA,90015,"$1,900",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-be-at-the-center-of-it-all/7901727874.html,1900.0,0.0,1900.0
Beautiful 1 Bedroom,Koreatown,90006,"$1,895",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-beautiful-bedroom/7902253160.html,1895.0,1.0,1895.0
Occidental Studio with parking,Koreatown,90006,"$1,495",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-occidental-studio-with/7900673625.html,1495.0,0.0,1495.0
1501 12th Ave- 2 Bedroom Apartment-$1200 Move In Special,"Arlington Heights, Los Angeles",90019,"$2,175",2br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-th-ave-bedroom-apartment/7898175990.html,2175.0,2.0,1087.5
1501 12th Ave- 2 Bedroom Apartment-$1200 Move In Special,"Arlington Heights, Los Angeles",90019,"$2,245",2br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-th-ave-bedroom-apartment/7898181452.html,2245.0,2.0,1122.5
1501 12th Ave- 2 Bedroom Apartment-$1200 Move In Special,"Arlington Heights, Los Angeles",90019,"$2,175",2br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-th-ave-bedroom-apartment/7898175203.html,2175.0,2.0,1087.5
1501 12th Ave- 2 Bedroom Apartment-$1200 Move In Special,"Arlington Heights, Los Angeles",90019,"$2,195",2br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-th-ave-bedroom-apartment/7897549230.html,2195.0,2.0,1097.5
2 bedroom 2 bathroom,"325 W. Adams Blvd., Los Angeles, CA",90018,"$3,299",2br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-bathroom/7902684766.html,3299.0,2.0,1649.5
"Stadium Seating Movie Theater, 3B/3B, Los Angeles CA","325 W. Adams Blvd., Los Angeles, CA",90018,"$4,299",3br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-stadium-seating-movie/7901839998.html,4299.0,3.0,1433.0
Claim your spot! Dive into a spacious Studio BR.,Los Angeles - Downtown LA,90015,"$1,995",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-claim-your-spot-dive-into/7901730538.html,1995.0,0.0,1995.0
Chic sophisticated urban living can be yours at City Lights on Fig,Los Angeles - DTLA,90015,"$2,955",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-chic-sophisticated-urban/7899951029.html,2955.0,,
4 WEEKS FREE + Skyline Views + 1 Bedroom in North Westlake,North Westlake,90057,"$1,595",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-weeks-free-skyline-views/7898326804.html,1595.0,1.0,1595.0
Luxury 1 Bedroom 1 BA Near Koreatown ^SS Appliances ^Recessed Lights,Close to DTLA + Koreatown,90006,"$1,867",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-luxury-bedroom-ba-near/7900446447.html,1867.0,1.0,1867.0
SS Appliances | Granite Countertops | Studio in Downtown Los Angeles,DTLA / South Park,90015,"$2,275",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-ss-appliances-granite/7902678002.html,2275.0,0.0,2275.0
"Lease by the unit or by the bed, Microwave",University Park,90007,"$2,418",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-lease-by-the-unit-or-by-the/7902675471.html,2418.0,,
"Washer/Dryer in Unit, Nest Thermostat, 1 Bedroom 1 Bath in Downtown LA",Near Arts District / Westlake ADJ,90057,"$2,732",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-washer-dryer-in-unit-nest/7902672028.html,2732.0,1.0,2732.0
"Studio Suite in Koreatown/DTLA, Specials, Remodeled, Near The Grove",Koreatown,90006,"$2,050",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-suite-in-koreatown/7902671325.html,2050.0,0.0,2050.0
This is the place for you! Beautiful Studio Apartments!,334 S. Westlake Ave.,90057,"$1,350",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-this-is-the-place-for-you/7902671013.html,1350.0,0.0,1350.0
Beautiful and Bright Studio Apartments for Rent!,334 S. Westlake Ave.,90057,"$1,350",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-beautiful-and-bright-studio/7902670738.html,1350.0,0.0,1350.0
"Looking For Convenience? Well, Look No Further! Studio Apartment",334 S. Westlake Ave.,90057,"$1,350",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-looking-for-convenience/7902670503.html,1350.0,0.0,1350.0
Hurry! This beautiful STUDIO apartment won't last long!,334 S. Westlake Ave.,90057,"$1,350",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-hurry-this-beautiful-studio/7902670312.html,1350.0,0.0,1350.0
Awesome Value! Below Market Price! Studio Apartments!,334 S. Westlake Ave.,90057,"$1,350",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-awesome-value-below-market/7902670097.html,1350.0,0.0,1350.0
Newly Remodeled! New Quartz Kitchen Counter Top!,334 S. Westlake Ave.,90057,"$1,350",,https://losangeles.craigslist.org/lac/apa/d/los-angeles-newly-remodeled-new-quartz/7902669835.html,1350.0,,
"Stadium Seating Movie Theater, In Los Angeles, 3B/3B","325 W. Adams Blvd., Los Angeles, CA",90018,"$4,299",3br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-stadium-seating-movie/7902270634.html,4299.0,3.0,1433.0
Live / Work Loft - Artist Gallery or Studio with 17 ft. TALL Ceilings,"Downtown, Southpark, Staples, L.A. Live",90015,"$3,795",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-live-work-loft-artist/7901842751.html,3795.0,0.0,3795.0
1 Bedroom in Downtown LA ^ SS Appliances ^ Live/Work ^ W/D in Unit,Downtown Los Angeles,90015,"$2,895",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-in-downtown-la-ss/7902669159.html,2895.0,1.0,2895.0
Luxury Studio Near Koreatown ^ SS Appliances ^ Recessed Lights,Close to DTLA + Koreatown,90006,"$1,695",studio,https://losangeles.craigslist.org/lac/apa/d/los-angeles-luxury-studio-near/7902668607.html,1695.0,0.0,1695.0
1 Bedroom 1 BA Close to Downtown LA | Renovated | Four Weeks Free,North Westlake,90057,"$1,595",1br,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-ba-close-to/7902668505.html,1595.0,1.0,1595.0
